"label","tag__name","browser__name","path"
"Font awesome","link","all","fonts/font-awesome/css/font-awesome.min.css"
"Font Righteous","link","all","fonts/font-righteous.min.css"
"Bootstrap stylesheet","link","all","bootstrap/css/bootstrap.min.css"
"DataTables stylesheet","link","all","datatables/css/jquery.dataTables.min.css"
"DataTables Bootstrap stylesheet","link","all","datatables/css/dataTables.bootstrap.css"
"jQuery UI stylesheet","link","all","devoops/plugins/jquery-ui/jquery-ui.min.css"
"jQuery fancybox stylesheet","link","all","devoops/plugins/fancybox/jquery.fancybox.css"
"Full calendar stylesheet","link","all","devoops/plugins/fullcalendar/fullcalendar.css"
"X Charts stylesheet","link","all","devoops/plugins/xcharts/xcharts.min.css"
"select2 stylesheet","link","all","devoops/plugins/select2/select2.css"
"justified Gallery stylesheet","link","all","devoops/plugins/justified-gallery/justifiedGallery.css"
"Main stylesheet","link","all","devoops/css/style.css"
"Main theme stylesheet","link","all","custom/css/theme.css"
"HTML5 ie fix","script","ie","iefixes/js/html5.js"
"HTML5 SHIV ie Fix","script","ie678","iefixes/js/html5shiv.js"
"HTML5 respond IE Fix","script","ie678","iefixes/js/respond.min.js"
"Bootstrap","script","all","bootstrap/js/bootstrap.min.js"
"DataTables","script","all","datatables/js/jquery.dataTables.min.js"
"DataTables Bootstrap integration","script","all","datatables/js/dataTables.bootstrap.js"
"jQuery","script","all","devoops/plugins/jquery/jquery.min.js"
"jQuery UI","script","all","devoops/plugins/jquery-ui/jquery-ui.min.js"
"jQuery Knob","script","all","devoops/plugins/jQuery-Knob/jquery.knob.min.js"
"justified Gallery","script","all","devoops/plugins/justified-gallery/jquery.justifiedGallery.min.js"
"TinyMCE","script","all","devoops/plugins/tinymce/tinymce.min.js"
"TinyMCE jQuery Integration","script","all","devoops/plugins/tinymce/jquery.tinymce.min.js"
"Spinner","script","all","devoops/js/int_spinner.js"
"Devoops","script","all","devoops/js/devoops.js"
