"registry__name","label","reference"
"application","1d-interleaved-parityfec","[RFC6015]"
"application","3gpdash-qoe-report+xml","[Ozgur_Oyman][ThreeGPP]"
"application","3gpp-ims+xml","[John_M_Meredith]"
"application","A2L","[ASAM][Thomas_Thomsen]"
"application","activemessage","[Ehud_Shapiro]"
"application","alto-costmap+json","[RFC7285]"
"application","alto-costmapfilter+json","[RFC7285]"
"application","alto-directory+json","[RFC7285]"
"application","alto-endpointprop+json","[RFC7285]"
"application","alto-endpointpropparams+json","[RFC7285]"
"application","alto-endpointcost+json","[RFC7285]"
"application","alto-endpointcostparams+json","[RFC7285]"
"application","alto-error+json","[RFC7285]"
"application","alto-networkmapfilter+json","[RFC7285]"
"application","alto-networkmap+json","[RFC7285]"
"application","AML","[ASAM][Thomas_Thomsen]"
"application","andrew-inset","[Nathaniel_Borenstein]"
"application","applefile","[Patrik_Faltstrom]"
"application","ATF","[ASAM][Thomas_Thomsen]"
"application","ATFX","[ASAM][Thomas_Thomsen]"
"application","atom+xml","[RFC4287][RFC5023]"
"application","atomcat+xml","[RFC5023]"
"application","atomdeleted+xml","[RFC6721]"
"application","atomicmail","[Nathaniel_Borenstein]"
"application","atomsvc+xml","[RFC5023]"
"application","ATXML","[ASAM][Thomas_Thomsen]"
"application","auth-policy+xml","[RFC4745]"
"application","bacnet-xdd+zip","[ASHRAE][Dave_Robin]"
"application","batch-SMTP","[RFC2442]"
"application","beep+xml","[RFC3080]"
"application","calendar+json","[RFC7265]"
"application","calendar+xml","[RFC6321]"
"application","call-completion","[RFC6910]"
"application","cals-1840","[RFC1895]"
"application","cbor","[RFC7049]"
"application","ccmp+xml","[RFC6503]"
"application","ccxml+xml","[RFC4267]"
"application","CDFX+XML","[ASAM][Thomas_Thomsen]"
"application","cdmi-capability","[RFC6208]"
"application","cdmi-container","[RFC6208]"
"application","cdmi-domain","[RFC6208]"
"application","cdmi-object","[RFC6208]"
"application","cdmi-queue","[RFC6208]"
"application","CEA","[ASAM][Thomas_Thomsen]"
"application","cea-2018+xml","[Gottfried_Zimmermann]"
"application","cellml+xml","[RFC4708]"
"application","cfw","[RFC6230]"
"application","cms","[RFC7193]"
"application","cnrp+xml","[RFC3367]"
"application","coap-group+json","[RFC7390]"
"application","commonground","[David_Glazer]"
"application","conference-info+xml","[RFC4575]"
"application","cpl+xml","[RFC3880]"
"application","csrattrs","[RFC7030]"
"application","csta+xml","[Ecma_International_Helpdesk]"
"application","CSTAdata+xml","[Ecma_International_Helpdesk]"
"application","cybercash","[Donald_E._Eastlake_3rd]"
"application","dash+xml","[Thomas_Stockhammer][ISO-IEC_JTC1]"
"application","dashdelta","[David_Furbeck]"
"application","davmount+xml","[RFC4709]"
"application","dca-rft","[Larry_Campbell]"
"application","DCD","[ASAM][Thomas_Thomsen]"
"application","dec-dx","[Larry_Campbell]"
"application","dialog-info+xml","[RFC4235]"
"application","dicom","[RFC3240]"
"application","DII","[ASAM][Thomas_Thomsen]"
"application","DIT","[ASAM][Thomas_Thomsen]"
"application","dns","[RFC4027]"
"application","dskpp+xml","[RFC6063]"
"application","dssc+der","[RFC5698]"
"application","dssc+xml","[RFC5698]"
"application","dvcs","[RFC3029]"
"application","ecmascript","[RFC4329]"
"application","EDI-consent","[RFC1767]"
"application","EDIFACT","[RFC1767]"
"application","EDI-X12","[RFC1767]"
"application","emma+xml","[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC JTC1]"
"application","emotionml+xml","[W3C][Kazuyuki_Ashimura]"
"application","encaprtp","[RFC6849]"
"application","epp+xml","[RFC5730]"
"application","epub+zip","[International_Digital_Publishing_Forum][William_McCoy]"
"application","eshop","[Steve_Katz]"
"application","example","[RFC4735]"
"application","exi","[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration]"
"application","fastinfoset","[ITU-T_ASN.1_Rapporteur]"
"application","fastsoap","[ITU-T_ASN.1_Rapporteur]"
"application","fdt+xml","[RFC6726]"
"application","fits","[RFC4047]"
"application","font-sfnt","[Levantovsky][ISO-IEC JTC1]"
"application","font-tdpfr","[RFC3073]"
"application","font-woff","[W3C]"
"application","framework-attributes+xml","[RFC6230]"
"application","gzip","[RFC6713]"
"application","H224","[RFC4573]"
"application","held+xml","[RFC5985]"
"application","http","[RFC7230]"
"application","hyperstudio","[Michael_Domino]"
"application","ibe-key-request+xml","[RFC5408]"
"application","ibe-pkg-reply+xml","[RFC5408]"
"application","ibe-pp-data","[RFC5408]"
"application","iges","[Curtis_Parks]"
"application","im-iscomposing+xml","[RFC3994]"
"application","index","[RFC2652]"
"application","index.cmd","[RFC2652]"
"application","index.obj","[RFC2652]"
"application","index.response","[RFC2652]"
"application","index.vnd","[RFC2652]"
"application","inkml+xml","[Kazuyuki_Ashimura]"
"application","iotp","[RFC2935]"
"application","ipfix","[RFC5655]"
"application","ipp","[RFC2910]"
"application","isup","[RFC3204]"
"application","its+xml","[W3C][ITS-IG-W3C]"
"application","javascript","[RFC4329]"
"application","jrd+json","[RFC7033]"
"application","json","[RFC7158]"
"application","json-patch+json","[RFC6902]"
"application","json-seq","[RFC-ietf-json-text-sequence-13]"
"application","kpml-request+xml","[RFC4730]"
"application","kpml-response+xml","[RFC4730]"
"application","ld+json","[W3C][Ivan_Herman]"
"application","link-format","[RFC6690]"
"application","load-control+xml","[RFC7200]"
"application","lost+xml","[RFC5222]"
"application","lostsync+xml","[RFC6739]"
"application","LXF","[ASAM][Thomas_Thomsen]"
"application","mac-binhex40","[Patrik_Faltstrom]"
"application","macwriteii","[Paul_Lindner]"
"application","mads+xml","[RFC6207]"
"application","marc","[RFC2220]"
"application","marcxml+xml","[RFC6207]"
"application","mathematica","[Wolfram]"
"application","mathml-content+xml","[W3C][http://www.w3.org/TR/MathML3/appendixb.html]"
"application","mathml-presentation+xml","[W3C][http://www.w3.org/TR/MathML3/appendixb.html]"
"application","mathml+xml","[W3C][http://www.w3.org/TR/MathML3/appendixb.html]"
"application","mbms-associated-procedure-description+xml","[ThreeGPP]"
"application","mbms-deregister+xml","[ThreeGPP]"
"application","mbms-envelope+xml","[ThreeGPP]"
"application","mbms-msk-response+xml","[ThreeGPP]"
"application","mbms-msk+xml","[ThreeGPP]"
"application","mbms-protection-description+xml","[ThreeGPP]"
"application","mbms-reception-report+xml","[ThreeGPP]"
"application","mbms-register-response+xml","[ThreeGPP]"
"application","mbms-register+xml","[ThreeGPP]"
"application","mbms-schedule+xml","[ThreeGPP][Eric_Turcotte]"
"application","mbms-user-service-description+xml","[ThreeGPP]"
"application","mbox","[RFC4155]"
"application","media_control+xml","[RFC5168]"
"application","media-policy-dataset+xml","[RFC6796]"
"application","mediaservercontrol+xml","[RFC5022]"
"application","merge-patch+json","[RFC7396]"
"application","metalink4+xml","[RFC5854]"
"application","mets+xml","[RFC6207]"
"application","MF4","[ASAM][Thomas_Thomsen]"
"application","mikey","[RFC3830]"
"application","mods+xml","[RFC6207]"
"application","moss-keys","[RFC1848]"
"application","moss-signature","[RFC1848]"
"application","mosskey-data","[RFC1848]"
"application","mosskey-request","[RFC1848]"
"application","mp21","[RFC6381][David_Singer]"
"application","mp4","[RFC4337][RFC6381]"
"application","mpeg4-generic","[RFC3640]"
"application","mpeg4-iod","[RFC4337]"
"application","mpeg4-iod-xmt","[RFC4337]"
"application","mrb-consumer+xml","[RFC6917]"
"application","mrb-publish+xml","[RFC6917]"
"application","msc-ivr+xml","[RFC6231]"
"application","msc-mixer+xml","[RFC6505]"
"application","msword","[Paul_Lindner]"
"application","mxf","[RFC4539]"
"application","nasdata","[RFC4707]"
"application","news-checkgroups","[RFC5537]"
"application","news-groupinfo","[RFC5537]"
"application","news-transmission","[RFC5537]"
"application","nlsml+xml","[RFC6787]"
"application","nss","[Michael_Hammer]"
"application","ocsp-request","[RFC6960]"
"application","ocsp-response","[RFC6960]"
"application","octet-stream","[RFC2045][RFC2046]"
"application","oda","[RFC2045][RFC2046]"
"application","ODX","[ASAM][Thomas_Thomsen]"
"application","oebps-package+xml","[RFC4839]"
"application","ogg","[RFC5334]"
"application","oxps","[Ecma_International_Helpdesk]"
"application","p2p-overlay+xml","[RFC6940]"
"application","parityfec","[RFC5109]"
"application","patch-ops-error+xml","[RFC5261]"
"application","pdf","[RFC3778]"
"application","PDX","[ASAM][Thomas_Thomsen]"
"application","pgp-encrypted","[RFC3156]"
"application","pgp-keys","[RFC3156]"
"application","pgp-signature","[RFC3156]"
"application","pidf-diff+xml","[RFC5262]"
"application","pidf+xml","[RFC3863]"
"application","pkcs10","[RFC5967]"
"application","pkcs7-mime","[RFC5751][RFC7114]"
"application","pkcs7-signature","[RFC5751]"
"application","pkcs8","[RFC5958]"
"application","pkix-attr-cert","[RFC5877]"
"application","pkix-cert","[RFC2585]"
"application","pkix-crl","[RFC2585]"
"application","pkix-pkipath","[RFC6066]"
"application","pkixcmp","[RFC2510]"
"application","pls+xml","[RFC4267]"
"application","poc-settings+xml","[RFC4354]"
"application","postscript","[RFC2045][RFC2046]"
"application","provenance+xml","[W3C][Ivan_Herman]"
"application","prs.alvestrand.titrax-sheet","[Harald_T._Alvestrand]"
"application","prs.cww","[Khemchart_Rungchavalnont]"
"application","prs.hpub+zip","[Giulio_Zambon]"
"application","prs.nprend","[Jay_Doggett]"
"application","prs.plucker","[Bill_Janssen]"
"application","prs.rdf-xml-crypt","[Toby_Inkster]"
"application","prs.xsf+xml","[Maik_StÃŒhrenberg]"
"application","pskc+xml","[RFC6030]"
"application","rdf+xml","[RFC3870]"
"application","qsig","[RFC3204]"
"application","raptorfec","[RFC6682]"
"application","rdap+json","[RFC-ietf-weirds-json-response-14]"
"application","reginfo+xml","[RFC3680]"
"application","relax-ng-compact-syntax","[http://www.jtc1sc34.org/repository/0661.pdf]"
"application","remote-printing","[RFC1486][Marshall_Rose]"
"application","reputon+json","[RFC7071]"
"application","resource-lists-diff+xml","[RFC5362]"
"application","resource-lists+xml","[RFC4826]"
"application","riscos","[Nick_Smith]"
"application","rlmi+xml","[RFC4662]"
"application","rls-services+xml","[RFC4826]"
"application","rpki-ghostbusters","[RFC6493]"
"application","rpki-manifest","[RFC6481]"
"application","rpki-roa","[RFC6481]"
"application","rpki-updown","[RFC6492]"
"application","rtf","[Paul_Lindner]"
"application","rtploopback","[RFC6849]"
"application","rtx","[RFC4588]"
"application","samlassertion+xml","[OASIS_Security_Services_Technical_Committee_SSTC]"
"application","samlmetadata+xml","[OASIS_Security_Services_Technical_Committee_SSTC]"
"application","sbml+xml","[RFC3823]"
"application","scaip+xml","[SIS][Oskar_Jonsson]"
"application","scvp-cv-request","[RFC5055]"
"application","scvp-cv-response","[RFC5055]"
"application","scvp-vp-request","[RFC5055]"
"application","scvp-vp-response","[RFC5055]"
"application","sdp","[RFC4566]"
"application","sep-exi","[Robby_Simpson][ZigBee]"
"application","sep+xml","[Robby_Simpson][ZigBee]"
"application","session-info","[ThreeGPP][Frederic_Firmin]"
"application","set-payment","[Brian_Korver]"
"application","set-payment-initiation","[Brian_Korver]"
"application","set-registration","[Brian_Korver]"
"application","set-registration-initiation","[Brian_Korver]"
"application","sgml","[RFC1874]"
"application","sgml-open-catalog","[Paul_Grosso]"
"application","shf+xml","[RFC4194]"
"application","sieve","[RFC5228]"
"application","simple-filter+xml","[RFC4661]"
"application","simple-message-summary","[RFC3842]"
"application","simpleSymbolContainer","[ThreeGPP]"
"application","slate","[Terry_Crowley]"
