"label","code","country__alpha2","category__name"
"Alaska","US_AK","US","state"
"Alabama","US_AL","US","state"
"Arkansas","US_AR","US","state"
"Arizona","US_AZ","US","state"
"California","US_CA","US","state"
"Colorado","US_CO","US","state"
"Connecticut","US_CT","US","state"
"District of Columbia","US_DC","US","state"
"Delaware","US_DE","US","state"
"Florida","US_FL","US","state"
"Georgia","US_GA","US","state"
"Hawaii","US_HI","US","state"
"Iowa","US_IA","US","state"
"Idaho","US_ID","US","state"
"Illinois","US_IL","US","state"
"Indiana","US_IN","US","state"
"Kansas","US_KS","US","state"
"Kentucky","US_KY","US","state"
"Louisiana","US_LA","US","state"
"Massachusetts","US_MA","US","state"
"Maryland","US_MD","US","state"
"Maine","US_ME","US","state"
"Michigan","US_MI","US","state"
"Minnesota","US_MN","US","state"
"Missouri","US_MO","US","state"
"Mississippi","US_MS","US","state"
"Montana","US_MT","US","state"
"North Carolina","US_NC","US","state"
"North Dakota","US_ND","US","state"
"Nebraska","US_NE","US","state"
"New Hampshire","US_NH","US","state"
"New Jersey","US_NJ","US","state"
"New Mexico","US_NM","US","state"
"Nevada","US_NV","US","state"
"New York","US_NY","US","state"
"Ohio","US_OH","US","state"
"Oklahoma","US_OK","US","state"
"Oregon","US_OR","US","state"
"Pennsylvania","US_PA","US","state"
"Rhode Island","US_RI","US","state"
"South Carolina","US_SC","US","state"
"South Dakota","US_SD","US","state"
"Tennessee","US_TN","US","state"
"Texas","US_TX","US","state"
"Utah","US_UT","US","state"
"Virginia","US_VA","US","state"
"Vermont","US_VT","US","state"
"Washington","US_WA","US","state"
"Wisconsin","US_WI","US","state"
"West Virginia","US_WV","US","state"
"Wyoming","US_WY","US","state"
"Alberta","CA_AB","CA","province"
"British Columbia","CA_BC","CA","province"
"Manitoba","CA_MB","CA","province"
"New Brunswick","CA_NB","CA","province"
"Newfoundland and Labrador","CA_NL","CA","province"
"Nova Scotia","CA_NS","CA","province"
"Ontario","CA_ON","CA","province"
"Prince Edward Island","CA_PE","CA","province"
"Quebec","CA_QC","CA","province"
"Saskatchewan","CA_SK","CA","province"
"Northwest Territories","CA_NT","CA","territory"
"Nunavut","CA_NU","CA_CA","territory"
"Yukon","CA_YT","CA","territory"
"Azuay","EQ_01","EQ","province"
"Bolívar","EQ_02","EQ","province"
"Cañar","EQ_03","EQ","province"
"Carchi","EQ_04","EQ","province"
"Chimborazo","EQ_05","EQ","province"
"Cotopaxi","EQ_06","EQ","province"
"El Oro","EQ_07","EQ","province"
"Esmeraldas","EQ_08","EQ","province"
"Galápagos","EQ_09","EQ","province"
"Guayas","EQ_10","EQ","province"
"Imbabura","EQ_11","EQ","province"
"Loja","EQ_12","EQ","province"
"Los Ríos","EQ_13","EQ","province"
"Manabí","EQ_14","EQ","province"
"Morona-Santiago","EQ_15","EQ","province"
"Napo","EQ_16","EQ","province"
"Orellana","EQ_17","EQ","province"
"Pastaza","EQ_18","EQ","province"
"Pichincha","EQ_19","EQ","province"
"Santa Elena","EQ_20","EQ","province"
"Santo Domingo de los Tsáchilas","EQ_21","EQ","province"
"Sucumbíos","EQ_22","EQ","province"
"Tungurahua","EQ_23","EQ","province"
"Zamora-Chinchipe","EQ_24","EQ","province"
"Azua","RD_01","RD","province"
"Bahoruco","RD_02","RD","province"
"Barahona","RD_03","RD","province"
"Dajabón","RD_04","RD","province"
"Distrito Nacional","RD_DN","RD","province"
"Duarte","RD_05","RD","province"
"Elías Piña","RD_06","RD","province"
"El Seibo","RD_07","RD","province"
"Espaillat","RD_08","RD","province"
"Hato Mayor","RD_09","RD","province"
"Hermanas Mirabal","RD_10","RD","province"
"Independencia","RD_11","RD","province"
"La Altagracia","RD_12","RD","province"
"La Romana","RD_13","RD","province"
"La Vega","RD_14","RD","province"
"María Trinidad Sánchez","RD_15","RD","province"
"Monseñor Nouel","RD_16","RD","province"
"Monte Cristi","RD_17","RD","province"
"Monte Plata","RD_18","RD","province"
"Pedernales","RD_19","RD","province"
"Peravia","RD_20","RD","province"
"Puerto Plata","RD_21","RD","province"
"Samaná","RD_22","RD","province"
"Sánchez Ramírez","RD_23","RD","province"
"San Cristóbal","RD_24","RD","province"
"San José de Ocoa","RD_25","RD","province"
"San Juan","RD_26","RD","province"
"San Pedro de Macorís","RD_27","RD","province"
"Santiago","RD_28","RD","province"
"Santiago Rodríguez","RD_29","RD","province"
"Santo Domingo","RD_30","RD","province"
"Valverde","RD_31","RD","province"
"Água Grande","ST_01","ST","district"
"Cantagalo","ST_01","ST","district"
"Caué","ST_01","ST","district"
"Lembá","ST_01","ST","district"
"Lobata","ST_01","ST","district"
"Mé-Zóchi","ST_01","ST","district"
